reason,is_active,hide,id,created_date,updated_date,created_by_id,created_by
Not Ours,TRUE,FALSE,694233729063c95a3d4bb2eb,2025-12-17T04:37:06.146000,2025-12-17T04:37:06.146000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Data Entry Error,TRUE,FALSE,6942335ec85a9933ecf754fd,2025-12-17T04:36:46.467000,2025-12-17T04:36:46.467000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Double Ordered,TRUE,FALSE,6942334b153faed8b9d8cd01,2025-12-17T04:36:27.597000,2025-12-17T04:36:27.597000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Didn't Need,TRUE,FALSE,69423338b30f27220870bacf,2025-12-17T04:36:08.943000,2025-12-17T04:36:08.943000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Billing Issue,TRUE,FALSE,694231f46bacb6efd4c20035,2025-12-17T04:30:44.786000,2025-12-17T04:34:23.656000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Warranty,TRUE,TRUE,691694c32aa670ec5428b73a,2025-11-14T02:32:35.024000,2025-12-17T04:33:53.005000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Core Return,TRUE,TRUE,68b93cac6a9e8f550e454248,2025-09-04T07:15:56.363000,2025-12-17T04:33:56.559000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Overstock,TRUE,FALSE,68b93cac7be9c4bfb7b025cb,2025-09-04T07:15:56.280000,2025-12-17T04:34:39.485000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Customer Cancelled,TRUE,FALSE,68b93cac29bcea68abfeedec,2025-09-04T07:15:56.170000,2025-12-17T04:34:42.885000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Wrong Part Ordered,TRUE,FALSE,68b93cac869bdd98f805559c,2025-09-04T07:15:56.076000,2025-12-17T04:34:46.289000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
Defective/Damaged,TRUE,FALSE,68b93cab1b11c1e72390457e,2025-09-04T07:15:55.983000,2025-12-17T04:34:51.836000,68b90236f4d7e6ac0de4a263,tyler.haney.1998@gmail.com
